dt_issue_date,violation_description,tickets_issued
2025-03-02,NO STAND TAXI/FHV RELIEF STAND,47
2024-05-10,BEYOND MARKED SPACE,12
2024-05-03,PHTO SCHOOL ZN SPEED VIOLATION,13804
2024-10-30,UNAUTHORIZED PASSENGER PICK-UP,1
2025-04-21,VIN OBSCURED,130
2024-11-19,NO STANDING-BUS LANE,174
2024-05-31,NO PARKING-DAY/TIME LIMITS,2375
2023-12-16,FRAUDULENT USE PARKING PERMIT,3
2023-12-03,NO PARKING-EXC. DSBLTY PERMIT,6
2025-07-25,SELLING/OFFERING MCHNDSE-METER,3
2024-01-17,NO STANDING-BUS STOP,757
2023-02-10,PEDESTRIAN RAMP,1
2024-09-19,INSP STICKER-MUTILATED/C'FEIT,39
2023-07-31,NO STANDING-COMM METER ZONE,1007
2024-03-31,PHTO SCHOOL ZN SPEED VIOLATION,20766
2023-01-03,SIDEWALK,1
2024-12-10,REG. STICKER-EXPIRED/MISSING,857
2023-09-08,IMPROPER REGISTRATION,16
2024-04-21,UNAUTHORIZED BUS LAYOVER,2
2025-02-07,COMML PLATES-UNALTERED VEHICLE,57
2025-10-10,NGHT PKG ON RESID STR-COMM VEH,1
2024-07-15,ALTERING INTERCITY BUS PERMIT,1
2025-08-20,FIRE HYDRANT,2
2023-09-19,NO STANDING-COMM METER ZONE,343
2023-10-28,STORAGE-3HR COMMERCIAL,31
2024-06-07,NIGHTTIME STD/ PKG IN A PARK,16
2024-11-10,COMML PLATES-UNALTERED VEHICLE,13
2024-11-23,PLTFRM LFTS LWRD POS COMM VEH,178
2024-01-08,PHTO SCHOOL ZN SPEED VIOLATION,12501
2025-06-14,NO STANDING-COMM METER ZONE,486
2023-09-17,INSP. STICKER-EXPIRED/MISSING,574
2024-09-18,SIDEWALK,166
2025-03-27,INTERSECTION,8
2026-03-19,NO PARKING-STREET CLEANING,1
2025-07-10,FIRE HYDRANT,1908
2023-09-16,PCKP DSCHRGE IN PRHBTD ZONE,2
2024-09-13,NO MATCH-PLATE/STICKER,56
2024-11-27,OTHER,17
2024-10-22,FAIL TO DISP. MUNI METER RECPT,1171
2025-01-09,CROSSWALK,201
2024-02-05,BEYOND MARKED SPACE,6
2023-11-26,DOUBLE PARKING,456
2023-07-13,NO PARKING-EXC. DSBLTY PERMIT,16
2024-02-10,NGHT PKG ON RESID STR-COMM VEH,110
2024-04-18,NO STANDING-BUS LANE,113
2025-02-28,REG. STICKER-EXPIRED/MISSING,1133
2024-11-09,MISCELLANEOUS,12
2025-03-28,DOUBLE PARKING,1032
2025-01-10,INSP STICKER-MUTILATED/C'FEIT,6
2024-09-11,REG. STICKER-EXPIRED/MISSING,592
2024-12-14,MISUSE PARKING PERMIT,9
2025-05-05,NGHT PKG ON RESID STR-COMM VEH,23
2025-04-06,FRONT OR BACK PLATE MISSING,367
2025-02-27,NO STANDING-COMMUTER VAN STOP,2
2025-04-14,MISSING EQUIPMENT,30
2024-07-08,FAILURE TO STOP AT RED LIGHT,1702
2024-04-22,PLTFRM LFTS LWRD POS COMM VEH,250
2025-06-30,NO STANDING-COMMUTER VAN STOP,6
2023-10-05,REG. STICKER-EXPIRED/MISSING,1618
2025-01-11,PEDESTRIAN RAMP,28
2024-10-18,STORAGE-3HR COMMERCIAL,9
2023-05-16,NO STOPPING-DAY/TIME LIMITS,1
2024-09-21,REG STICKER-MUTILATED/C'FEIT,6
2024-01-27,NO STAND TAXI/FHV RELIEF STAND,52
2024-01-16,NIGHTTIME STD/ PKG IN A PARK,1
2025-06-23,EXPIRED METER-COMM METER ZONE,1680
2024-05-01,REG. STICKER-EXPIRED/MISSING,1913
2025-02-01,NO STOPPING-DAY/TIME LIMITS,97
2023-06-06,NO STANDING-BUS LANE,2
2025-05-16,NGHT PKG ON RESID STR-COMM VEH,164
2024-12-13,PARKED BUS-EXC. DESIG. AREA,18
2023-05-30,VEHICLE FOR SALE(DEALERS ONLY),1
2024-11-10,NO STANDING-EXC. AUTH. VEHICLE,167
2024-04-14,MISCELLANEOUS,16
2023-10-25,BEYOND MARKED SPACE,16
2025-01-10,NO PARKING-EXC. AUTH. VEHICLE,3
2024-09-06,VIN OBSCURED,146
2023-07-16,NO STANDING-EXC. AUTH. VEHICLE,235
2023-06-14,MOBILE BUS LANE VIOLATION,553
2000-05-09,NO STANDING-DAY/TIME LIMITS,2
2025-05-08,VIN OBSCURED,125
2023-06-01,INSP. STICKER-EXPIRED/MISSING,10
2025-12-25,FIRE HYDRANT,2
2025-01-20,BUS LANE VIOLATION,919
2025-05-28,NO STAND TAXI/FHV RELIEF STAND,28
2023-09-14,NO STANDING-TAXI STAND,45
2024-08-22,PLTFRM LFTS LWRD POS COMM VEH,340
2023-08-31,NO PARKING-EXC. DSBLTY PERMIT,15
2025-06-25,NO STANDING-EXC. TRUCK LOADING,768
2024-01-24,NO PARKING-STREET CLEANING,3411
2025-04-03,PHTO SCHOOL ZN SPEED VIOLATION,9854
2024-08-17,BIKE LANE,50
2023-03-29,NGHT PKG ON RESID STR-COMM VEH,1
2025-01-21,CROSSWALK,178
2024-12-12,ANGLE PARKING,4
2024-01-08,MISUSE PARKING PERMIT,41
2024-09-06,WRONG WAY,20
2023-08-28,NO STANDING-HOTEL LOADING,11
2024-06-11,NO STANDING-BUS STOP,861
2024-07-25,NO STANDING-HOTEL LOADING,20
2024-01-03,FAILURE TO STOP AT RED LIGHT,1477
2025-06-14,INTERSECTION,5
2026-04-25,NO STANDING-DAY/TIME LIMITS,1
2023-10-02,SIDEWALK,134
2024-08-28,NO STANDING-EXC. TRUCK LOADING,866
2025-06-06,PARKED BUS-EXC. DESIG. AREA,10
2023-07-29,MISSING EQUIPMENT,8
2023-08-02,INTERSECTION,6
2025-07-25,EXPIRED MUNI MTR-COMM MTR ZN,79
2024-04-27,PARKED BUS-EXC. DESIG. AREA,1
2025-06-26,OVERNIGHT TRACTOR TRAILER PKG,22
2023-08-25,NO MATCH-PLATE/STICKER,47
2025-01-13,PLTFRM LFTS LWRD POS COMM VEH,292
2024-03-11,ANGLE PARKING,7
2025-01-28,OTHER,11
2023-10-22,NGHT PKG ON RESID STR-COMM VEH,58
2024-08-18,MISSING EQUIPMENT,2
2024-11-03,FRONT OR BACK PLATE MISSING,163
2023-08-15,FAILURE TO STOP AT RED LIGHT,1750
2023-09-27,INSP. STICKER-EXPIRED/MISSING,1609
2025-04-22,NO STANDING-COMM METER ZONE,1184
2024-07-13,NO PARKING-DAY/TIME LIMITS,1036
2023-09-29,NO STANDING-EXC. TRUCK LOADING,203
2025-04-07,DIVIDED HIGHWAY,1
2025-04-22,BEYOND MARKED SPACE,11
2025-01-05,BEYOND MARKED SPACE,7
2024-01-07,NGHT PKG ON RESID STR-COMM VEH,32
2024-12-23,DIVIDED HIGHWAY,3
2024-05-27,FRAUDULENT USE PARKING PERMIT,11
2025-01-08,FAIL TO DISP. MUNI METER RECPT,684
2024-07-05,DOUBLE PARKING-MIDTOWN COMML,127
2025-07-18,INTERSECTION,5
2024-01-14,NO PARKING-DAY/TIME LIMITS,603
2024-05-03,EXPIRED MUNI METER,1087
2024-02-23,DIVIDED HIGHWAY,4
2023-08-13,CROSSWALK,71
2024-12-04,DOUBLE PARKING-MIDTOWN COMML,256
2024-09-26,NO PARKING-STREET CLEANING,6052
2024-12-18,BIKE LANE,208
2025-02-21,STORAGE-3HR COMMERCIAL,45
2024-06-19,NO STANDING-COMMUTER VAN STOP,2
2024-02-04,NO STANDING-BUS STOP,550
2025-07-13,ANGLE PARKING,12
2024-04-03,EXCAVATION-VEHICLE OBSTR TRAFF,1
2024-12-06,NO STANDING-FOR HIRE VEH STND,18
2023-06-11,CROSSWALK,18
2025-05-16,DETACHED TRAILER,98
2025-07-14,NGHT PKG ON RESID STR-COMM VEH,9
2000-05-17,NO STANDING-DAY/TIME LIMITS,1
2025-06-17,EXCAVATION-VEHICLE OBSTR TRAFF,1
2023-07-29,PARKED BUS-EXC. DESIG. AREA,5
2023-12-07,NO STANDING-COMMUTER VAN STOP,5
2024-09-20,NO MATCH-PLATE/STICKER,61
2023-09-18,MISCELLANEOUS,6
2024-11-26,INSP STICKER-MUTILATED/C'FEIT,28
2023-01-06,NO PARKING-DAY/TIME LIMITS,1
2024-09-20,PCKP DSCHRGE IN PRHBTD ZONE,62
2023-10-20,OBSTRUCTING TRAFFIC/INTERSECT,2
2025-02-08,NO STANDING-COMM METER ZONE,542
2025-06-23,FAILURE TO STOP AT RED LIGHT,2088
2023-10-15,BUS PARKING IN LOWER MANHATTAN,5
2024-08-02,NO PARKING-DAY/TIME LIMITS,1867
2025-02-23,PARKED BUS-EXC. DESIG. AREA,2
2023-09-06,MOBILE BUS LANE VIOLATION,651
2024-05-26,OTHER,8
2024-04-17,INSP STICKER-MUTILATED/C'FEIT,54
2024-11-29,PEDESTRIAN RAMP,16
2024-10-23,NO PARKING-STREET CLEANING,3521
2024-04-17,TRAFFIC LANE,13
2025-05-26,BEYOND MARKED SPACE,7
2024-09-10,PHTO SCHOOL ZN SPEED VIOLATION,13332
2024-10-14,OBSTRUCTING DRIVEWAY,166
2023-04-12,DOUBLE PARKING,2
2024-07-29,FAIL TO DSPLY MUNI METER RECPT,3428
2023-07-16,NO STANDING-EXC. TRUCK LOADING,235
2025-05-14,SAFETY ZONE,108
2024-08-16,EXPIRED MUNI MTR-COMM MTR ZN,115
2024-09-07,CROSSWALK,150
2024-04-11,OBSTRUCTING TRAFFIC/INTERSECT,30
2024-01-21,BUS LANE VIOLATION,1381
2023-09-13,FIRE HYDRANT,1999
2025-12-23,OBSTRUCTING DRIVEWAY,2
2025-05-31,TRAFFIC LANE,11
2025-01-15,NO MATCH-PLATE/STICKER,35
2024-11-24,DETACHED TRAILER,60
2024-10-03,NO STANDING-FOR HIRE VEH STND,10
2023-11-19,FAIL TO DSPLY MUNI METER RECPT,1
2023-11-14,OVERNIGHT TRACTOR TRAILER PKG,4
2026-05-10,OVERNIGHT TRACTOR TRAILER PKG,1
2023-05-19,REG. STICKER-EXPIRED/MISSING,4
2025-06-09,NO STANDING-FOR HIRE VEH STND,3
2023-08-05,DETACHED TRAILER,46
2024-04-18,NO STANDING EXCP D/S,14
2023-08-25,PARKED BUS-EXC. DESIG. AREA,14
2025-05-01,PCKP DSCHRGE IN PRHBTD ZONE,3
2023-11-25,NGHT PKG ON RESID STR-COMM VEH,71
2025-02-11,ANGLE PARKING,20
2023-09-04,OBSTRUCTING TRAFFIC/INTERSECT,4
2024-09-07,EXPIRED MUNI METER,597
2024-07-06,BIKE LANE,73
2025-03-28,NGHT PKG ON RESID STR-COMM VEH,231
2024-05-29,NO STOPPING-DAY/TIME LIMITS,244
2023-05-31,IMPROPER REGISTRATION,2
2000-07-12,INSP. STICKER-EXPIRED/MISSING,1
2023-08-28,EXPIRED MUNI MTR-COMM MTR ZN,158
2025-05-31,INSP STICKER-MUTILATED/C'FEIT,3
2024-11-08,PHTO SCHOOL ZN SPEED VIOLATION,12505
2024-11-12,OTHER,18
2023-07-15,NO STANDING-HOTEL LOADING,14
2023-10-18,FAIL TO DSPLY MUNI METER RECPT,4887
2024-03-25,REG. STICKER-EXPIRED/MISSING,1373
2024-05-17,FAILURE TO STOP AT RED LIGHT,2165
2023-09-10,STORAGE-3HR COMMERCIAL,6
2023-04-16,NO STANDING-DAY/TIME LIMITS,1
2024-07-07,OVERTIME STDG D/S,3
2025-04-02,NO PARKING-EXC. DSBLTY PERMIT,5
2025-05-10,NO STOPPING-DAY/TIME LIMITS,110
2024-12-03,MOBILE BUS LANE VIOLATION,830
2025-05-10,NO MATCH-PLATE/STICKER,48
2025-05-14,FRONT OR BACK PLATE MISSING,559
2025-04-17,REG. STICKER-EXPIRED/MISSING,1438
2025-02-15,PARKED BUS-EXC. DESIG. AREA,2
2025-07-11,NO STANDING-HOTEL LOADING,20
2024-03-01,STORAGE-3HR COMMERCIAL,33
2024-04-18,IMPROPER REGISTRATION,19
2023-08-14,EXPIRED MUNI METER,1081
2025-04-16,VACANT LOT,1
2025-02-28,NGHT PKG ON RESID STR-COMM VEH,219
2025-01-17,UNAUTHORIZED BUS LAYOVER,1
2024-05-05,SIDEWALK,69
2025-01-29,NO STANDING-DAY/TIME LIMITS,2533
2023-07-13,REG. STICKER-EXPIRED/MISSING,1455
2025-01-08,NO STANDING-EXC. AUTH. VEHICLE,336
2024-07-12,NO PARKING-EXC. DSBLTY PERMIT,1
2024-06-17,NO STANDING-DAY/TIME LIMITS,2205
2025-01-02,PEDESTRIAN RAMP,13
2024-03-13,FIRE HYDRANT,2606
2031-12-12,FIRE HYDRANT,1
2024-12-21,OVERNIGHT TRACTOR TRAILER PKG,37
2024-06-23,BEYOND MARKED SPACE,1
2025-01-04,CROSSWALK,97
2024-06-02,INSP STICKER-MUTILATED/C'FEIT,77
2025-03-10,NO STANDING-EXC. TRUCK LOADING,730
2024-08-13,INSP STICKER-MUTILATED/C'FEIT,48
2025-06-19,OVERTIME PKG-TIME LIMIT POSTED,2
2023-10-26,FAIL TO DSPLY MUNI METER RECPT,3815
2023-11-14,MISSING EQUIPMENT,39
2024-02-22,MISCELLANEOUS,12
2023-09-25,FAIL TO DISP. MUNI METER RECPT,684
2024-04-05,NO STANDING-BUS LANE,131
2024-01-20,MOBILE BUS LANE VIOLATION,313
2024-09-26,NON-COMPLIANCE W/ POSTED SIGN,30
2024-05-02,PHTO SCHOOL ZN SPEED VIOLATION,13781
2025-01-31,INSP. STICKER-EXPIRED/MISSING,1213
2024-05-18,NO STANDING-TAXI STAND,38
2025-07-17,BUS PARKING IN LOWER MANHATTAN,4
2025-03-14,INTERSECTION,8
2024-03-25,NO PARKING-EXC. DSBLTY PERMIT,5
2024-02-13,NO PARKING-STREET CLEANING,5
2024-05-10,OBSTRUCTING DRIVEWAY,174
2025-04-12,NO PARKING-DAY/TIME LIMITS,979
2024-05-14,DOUBLE PARKING,1062
2025-04-09,PCKP DSCHRGE IN PRHBTD ZONE,3
2023-02-20,OBSTRUCTING DRIVEWAY,1
2023-08-27,EXCAVATION-VEHICLE OBSTR TRAFF,1
2024-12-28,ANGLE PARKING,3
2021-12-30,FIRE HYDRANT,1
2025-06-10,EXPIRED MUNI METER,1099
2025-04-04,OVERNIGHT TRACTOR TRAILER PKG,39
2023-01-25,DOUBLE PARKING,2
2025-04-06,REG. STICKER-EXPIRED/MISSING,550
2023-11-24,PEDESTRIAN RAMP,36
2024-10-18,PEDESTRIAN RAMP,20
2025-05-23,OBSTRUCTING DRIVEWAY,142
2024-11-07,OBSTRUCTING TRAFFIC/INTERSECT,37
2023-12-11,CROSSWALK,199
2024-03-27,BLUE ZONE,6
2024-05-25,NO STANDING-DAY/TIME LIMITS,1814
2024-10-28,NIGHTTIME STD/ PKG IN A PARK,2
2024-06-16,INSP. STICKER-EXPIRED/MISSING,403
2024-06-21,INSP. STICKER-EXPIRED/MISSING,1080
2023-07-04,NO STANDING-DAY/TIME LIMITS,449
2023-10-10,OVERNIGHT TRACTOR TRAILER PKG,7
2024-04-14,PEDESTRIAN RAMP,26
2025-05-09,FAILURE TO STOP AT RED LIGHT,1610
2025-11-04,DOUBLE PARKING,1
2025-05-08,NON-COMPLIANCE W/ POSTED SIGN,69
2023-10-07,SAFETY ZONE,30
2023-09-08,NO STANDING-EXC. AUTH. VEHICLE,416
2024-08-17,NO STANDING-FOR HIRE VEH STND,1
2024-06-24,MISSING EQUIPMENT,13
2024-09-03,OVERTIME PKG-TIME LIMIT POSTED,3
2024-05-11,BUS LANE VIOLATION,1516
2024-11-30,OBSTRUCTING TRAFFIC/INTERSECT,2
2024-08-20,PHTO SCHOOL ZN SPEED VIOLATION,13956
2024-04-14,FAILURE TO STOP AT RED LIGHT,2335
2024-07-04,NO PARKING-STREET CLEANING,47
2025-07-01,REG. STICKER-EXPIRED/MISSING,1393
2024-09-12,NO STANDING EXCP D/S,14
2025-04-28,STORAGE-3HR COMMERCIAL,2
2024-07-19,NO STANDING-TAXI STAND,8
2025-05-25,NO STANDING EXCP D/S,24
2025-05-20,PHTO SCHOOL ZN SPEED VIOLATION,11104
2024-01-06,VIN OBSCURED,6
2025-04-21,SAFETY ZONE,127
2024-02-12,BIKE LANE,268
2025-06-16,ANGLE PARKING-COMM VEHICLE,1
2022-09-20,FIRE HYDRANT,2
2025-07-07,NO PARKING-EXC. DSBLTY PERMIT,1
2024-03-23,NO STANDING-TAXI STAND,16
2023-01-10,NO STOPPING-DAY/TIME LIMITS,1
2025-05-30,NO STANDING-EXC. AUTH. VEHICLE,385
2025-03-25,NO PARKING-EXC. AUTH. VEHICLE,2
2023-11-10,IMPROPER REGISTRATION,11
2024-06-07,DETACHED TRAILER,94
2025-05-13,NO PARKING-EXC. AUTH. VEHICLE,6
2024-05-22,OVERTIME PKG-TIME LIMIT POSTED,7
2025-03-24,NO STANDING-TAXI STAND,21
2024-05-06,COMML PLATES-UNALTERED VEHICLE,57
2024-10-29,EXCAVATION-VEHICLE OBSTR TRAFF,1
2024-12-09,NO STAND TAXI/FHV RELIEF STAND,12
2025-05-15,OVERNIGHT TRACTOR TRAILER PKG,49
2023-07-23,NO STANDING EXCP D/S,28
2024-04-08,PEDESTRIAN RAMP,27
2023-06-14,FRONT OR BACK PLATE MISSING,37
2023-11-18,MISCELLANEOUS,7
2024-06-10,UNAUTHORIZED BUS LAYOVER,3
2023-12-11,NO STAND TAXI/FHV RELIEF STAND,15
2025-06-26,BLUE ZONE,20
2025-07-08,DOUBLE PARKING-MIDTOWN COMML,266
2024-06-27,PHTO SCHOOL ZN SPEED VIOLATION,14903
2025-01-26,NIGHTTIME STD/ PKG IN A PARK,1
2025-07-01,NO STANDING-EXC. AUTH. VEHICLE,253
2024-09-16,OTHER,25
2024-06-23,FAILURE TO STOP AT RED LIGHT,2251
2025-02-08,FIRE HYDRANT,1853
2024-05-31,MISCELLANEOUS,5
2025-03-11,BIKE LANE,225
2024-09-13,STORAGE-3HR COMMERCIAL,106
2025-02-17,MISUSE PARKING PERMIT,7
2024-08-31,OVERNIGHT TRACTOR TRAILER PKG,5
2023-08-04,NO STOPPING-DAY/TIME LIMITS,224
2024-01-29,REG STICKER-MUTILATED/C'FEIT,12
2024-05-19,NO STANDING-BUS LANE,4
2023-12-02,INSP. STICKER-EXPIRED/MISSING,2482
2024-08-18,OTHER,18
2023-09-03,DIVIDED HIGHWAY,8
2025-07-18,NO STANDING-EXC. TRUCK LOADING,616
2023-06-18,WRONG WAY,7
2024-10-21,NO PARKING-EXC. DSBLTY PERMIT,2
2024-09-14,OBSTRUCTING DRIVEWAY,143
2000-09-07,NO STANDING-DAY/TIME LIMITS,1
2025-04-27,NON-COMPLIANCE W/ POSTED SIGN,10
2024-12-15,NON-COMPLIANCE W/ POSTED SIGN,9
2023-08-20,NO STANDING-EXC. AUTH. VEHICLE,250
2024-09-22,OVERNIGHT TRACTOR TRAILER PKG,2
2024-09-14,ANGLE PARKING,6
2024-04-26,INSP. STICKER-EXPIRED/MISSING,885
2024-03-27,FRAUDULENT USE PARKING PERMIT,30
2029-03-20,FIRE HYDRANT,1
2025-07-22,WRONG WAY,28
2024-05-13,OBSTRUCTING TRAFFIC/INTERSECT,3
2024-03-01,ANGLE PARKING,5
2023-06-24,NO STANDING-DAY/TIME LIMITS,116
2025-12-22,FRONT OR BACK PLATE MISSING,2
2024-03-11,MISCELLANEOUS,6
2025-06-26,INSP STICKER-MUTILATED/C'FEIT,12
2023-07-10,NO PARKING-STREET CLEANING,9336
2025-02-13,NO PARKING-STREET CLEANING,11
2028-11-28,ANGLE PARKING,1
2023-11-14,NO STANDING-DAY/TIME LIMITS,3028
2025-07-17,DIVIDED HIGHWAY,3
2022-09-12,FIRE HYDRANT,1
2023-11-24,OBSTRUCTING DRIVEWAY,147
2024-10-07,STORAGE-3HR COMMERCIAL,5
2024-04-29,OBSTRUCTING TRAFFIC/INTERSECT,4
2024-03-14,NO STANDING-TAXI STAND,65
2024-04-27,PCKP DSCHRGE IN PRHBTD ZONE,14
2023-10-09,NO STANDING EXCP D/S,13
2024-03-27,IDLING,2
2025-01-20,NO STANDING-COMMUTER VAN STOP,4
2023-12-02,NO STANDING-COMM METER ZONE,491
2024-11-16,NO STANDING-BUS LANE,38
2024-05-28,BUS PARKING IN LOWER MANHATTAN,2
2025-01-06,NO PARKING-STREET CLEANING,72
2023-01-07,NGHT PKG ON RESID STR-COMM VEH,3
2024-08-24,VEHICLE FOR SALE(DEALERS ONLY),1
2023-09-25,NO STANDING-FOR HIRE VEH STND,7
2024-05-04,DOUBLE PARKING,693
2025-05-08,MISCELLANEOUS,17
2024-01-11,NO STANDING-DAY/TIME LIMITS,2687
2023-07-14,NON-COMPLIANCE W/ POSTED SIGN,82
2024-02-22,NO PARKING-STREET CLEANING,11053
2024-07-09,NON-COMPLIANCE W/ POSTED SIGN,52
2025-06-04,MISSING EQUIPMENT,16
2024-08-19,VIN OBSCURED,133
2024-02-26,REG. STICKER-EXPIRED/MISSING,1025
2024-08-02,MOBILE BUS LANE VIOLATION,731
2024-02-24,INSP. STICKER-EXPIRED/MISSING,1195
2025-05-31,PEDESTRIAN RAMP,45
2025-01-20,DOUBLE PARKING-MIDTOWN COMML,59
2025-04-19,NIGHTTIME STD/ PKG IN A PARK,17
2023-07-13,SIDEWALK,129
2023-09-28,NO STANDING EXCP D/S,24
2024-01-24,INSP. STICKER-EXPIRED/MISSING,1659
2023-06-27,NO STANDING-BUS STOP,63
2025-02-26,BEYOND MARKED SPACE,10
2025-07-18,NO STANDING-EXC. AUTH. VEHICLE,261
2023-12-26,NO PARKING-EXC. DSBLTY PERMIT,3
2025-03-19,TRAFFIC LANE,10
2024-10-05,WRONG WAY,23
2023-05-31,NON-COMPLIANCE W/ POSTED SIGN,3
2025-02-03,NO STANDING-TAXI STAND,43
2024-08-31,PLTFRM LFTS LWRD POS COMM VEH,226
2024-11-01,NO STANDING-DAY/TIME LIMITS,2845
2024-12-14,PCKP DSCHRGE IN PRHBTD ZONE,1
2025-07-10,NO STOP/STANDNG EXCEPT PAS P/U,1
2024-08-18,SAFETY ZONE,59
2025-06-20,NO PARKING-STREET CLEANING,9954
2024-09-13,VEHICLE FOR SALE(DEALERS ONLY),1
2025-01-20,COMML PLATES-UNALTERED VEHICLE,16
2024-01-19,NO STANDING EXCP D/S,6
2025-11-28,OBSTRUCTING TRAFFIC/INTERSECT,1
2025-04-14,NO STANDING-DAY/TIME LIMITS,2975
2025-06-14,PARKED BUS-EXC. DESIG. AREA,15
2025-06-28,BEYOND MARKED SPACE,23
2024-05-11,SAFETY ZONE,116
2024-10-11,DOUBLE PARKING,1079
2025-03-31,PLTFRM LFTS LWRD POS COMM VEH,269
2025-03-27,NO STANDING-DAY/TIME LIMITS,3004
2024-11-22,NO MATCH-PLATE/STICKER,42
2023-09-22,STORAGE-3HR COMMERCIAL,44
2024-10-16,INTERSECTION,2
2024-02-17,ANGLE PARKING,2
2025-04-07,EXCAVATION-VEHICLE OBSTR TRAFF,8
2024-11-09,VIN OBSCURED,93
2024-05-30,CROSSWALK,330
2023-08-02,FRONT OR BACK PLATE MISSING,967
2024-10-21,NO PARKING-EXC. AUTH. VEHICLE,3
2025-07-26,MISUSE PARKING PERMIT,1
2024-03-07,MISSING EQUIPMENT,8
2023-11-10,SAFETY ZONE,64
2023-12-16,EXPIRED MUNI MTR-COMM MTR ZN,5
2024-04-29,CROSSWALK,337
2024-04-11,DIVIDED HIGHWAY,12
2024-07-27,NO STANDING-BUS STOP,534
2025-01-10,VIN OBSCURED,46
2023-11-07,UNAUTHORIZED BUS LAYOVER,2
2025-01-29,BIKE LANE,211
2024-03-22,OBSTRUCTING DRIVEWAY,147
2024-04-17,BEYOND MARKED SPACE,19
2023-12-28,FAIL TO DSPLY MUNI METER RECPT,2242
2024-06-28,OVERTIME PKG-TIME LIMIT POSTED,1
2024-03-14,NO STANDING-HOTEL LOADING,19
2025-05-19,INTERSECTION,9
2024-06-17,WRONG WAY,17
2023-11-29,COMML PLATES-UNALTERED VEHICLE,55
2025-07-01,TRAFFIC LANE,19
2025-12-13,INSP. STICKER-EXPIRED/MISSING,1
2023-08-21,VIN OBSCURED,12
2024-01-08,EXPIRED MUNI MTR-COMM MTR ZN,102
2023-11-12,EXCAVATION-VEHICLE OBSTR TRAFF,1
2023-07-18,ANGLE PARKING-COMM VEHICLE,1
2023-08-15,BIKE LANE,320
2024-04-17,BUS PARKING IN LOWER MANHATTAN,5
2024-08-26,NO STANDING EXCP D/S,10
2023-10-03,FRONT OR BACK PLATE MISSING,629
2023-10-19,NIGHTTIME STD/ PKG IN A PARK,4
2023-07-11,IMPROPER REGISTRATION,21
2024-01-17,BLUE ZONE,3
2023-10-13,NO PARKING-EXC. AUTH. VEHICLE,7
2024-03-19,BEYOND MARKED SPACE,13
2025-02-10,WRONG WAY,24
2023-09-25,NO PARKING-EXC. AUTH. VEHICLE,2
2024-08-30,BLUE ZONE,6
2024-06-09,BUS LANE VIOLATION,1058
2024-08-10,FRAUDULENT USE PARKING PERMIT,20
2025-03-26,EXCAVATION-VEHICLE OBSTR TRAFF,10
2024-07-18,NIGHTTIME STD/ PKG IN A PARK,14
2023-07-28,FRAUDULENT USE PARKING PERMIT,10
2024-01-25,OBSTRUCTING DRIVEWAY,147
2025-07-29,PEDESTRIAN RAMP,2
2024-07-01,CROSSWALK,214
2024-09-05,EXCAVATION-VEHICLE OBSTR TRAFF,1
2023-09-16,COMML PLATES-UNALTERED VEHICLE,33
2025-02-28,NO STANDING-COMMUTER VAN STOP,2
2023-02-03,NO STANDING-DAY/TIME LIMITS,1
2024-05-01,VIN OBSCURED,168
2024-10-16,NO STD(EXC TRKS/GMTDST NO-TRK),3
2025-03-21,SIDEWALK,194
2024-08-19,NO PARKING-EXC. AUTH. VEHICLE,1
2024-05-23,UNAUTHORIZED BUS LAYOVER,5
2026-06-08,SIDEWALK,5
2024-12-19,OTHER,13
2024-08-21,PLTFRM LFTS LWRD POS COMM VEH,355
2023-08-24,NO STANDING-COMM METER ZONE,1022
2024-06-02,NO STANDING-COMM METER ZONE,2
2025-02-19,TRAFFIC LANE,9
2025-05-13,ALTERING INTERCITY BUS PERMIT,1
2025-07-08,NO STANDING-EXC. AUTH. VEHICLE,298
2024-02-16,OBSTRUCTING DRIVEWAY,144
2024-09-03,NO STANDING-HOTEL LOADING,29
2025-07-20,REG. STICKER-EXPIRED/MISSING,576
2025-04-09,OBSTRUCTING TRAFFIC/INTERSECT,42
2023-10-02,NO STANDING-TAXI STAND,44
2023-07-18,DETACHED TRAILER,102
2023-11-02,OTHER,22
2024-03-04,IDLING,2
2024-10-05,NO STANDING-EXC. AUTH. VEHICLE,159
2024-07-19,DOUBLE PARKING,271
2024-06-10,EXPIRED MUNI METER,978
2024-09-14,MOBILE BUS LANE VIOLATION,245
2025-02-02,FRAUDULENT USE PARKING PERMIT,8
2023-10-29,NO STANDING-EXC. TRUCK LOADING,238
2023-09-23,SIDEWALK,91
2023-12-03,INTERSECTION,1
2024-12-25,SIDEWALK,43
2024-07-12,NO STOPPING-DAY/TIME LIMITS,207
2024-07-11,PLTFRM LFTS LWRD POS COMM VEH,343
2023-08-19,REG STICKER-MUTILATED/C'FEIT,2
2023-11-16,FRAUDULENT USE PARKING PERMIT,9
2025-05-23,NO STANDING-OFF-STREET LOT,1851
2024-03-20,NON-COMPLIANCE W/ POSTED SIGN,113
2024-11-12,VIN OBSCURED,189
2024-04-20,PEDESTRIAN RAMP,13
2024-01-30,PLTFRM LFTS LWRD POS COMM VEH,301
2024-10-03,REG. STICKER-EXPIRED/MISSING,1897
2023-08-20,COMML PLATES-UNALTERED VEHICLE,12
2025-06-13,NO STOPPING-DAY/TIME LIMITS,210
